"Disease","Category","Number of SNPs","Number of genes","Biogrid Coherence KEGG","String Coherence KEGG","String Filt Coherence KEGG","Biogrid Coherence Reactome","String Coherence Reactome","String Filt Coherence Reactome","Biogrid Coherence GOCC","String Coherence GOCC","String Filt Coherence GOCC","Biogrid P-value","String P-value","String Filt P-value"
"Telomere length","Anthropometric trait",30,27,NA,1.11,0.98,NA,1.24,1.03,NA,1.24,1.01,NA,0.001,0.001
"Corneal structure","Eye trait",26,26,NA,1,1,NA,1.09,1.05,NA,1.09,1.03,NA,0.001,0.001
"Type 1 diabetes","Autoimmune",78,72,NA,0.96,0.87,0.89,0.9,0.87,0.86,0.93,0.88,0.001,0.001,0.001
"Fasting glucose-related traits","Metabolic trait",17,17,NA,0.96,0.98,NA,1.12,1.02,NA,1.07,1,NA,0.001,0.001
"Refractive error","Eye disease",29,27,NA,0.95,0.97,NA,1.07,1.02,NA,1.06,1,NA,0.001,0.001
"Type 2 diabetes","Metabolic disease",228,174,NA,0.91,0.95,0.78,0.85,0.94,0.8,0.98,0.96,0.001,0.001,0.001
"Testicular germ cell tumor","Cancer",21,20,NA,0.91,0.93,NA,1,0.97,NA,0.97,0.96,NA,0.001,0.001
"Coronary artery disease","Cardiovascular disease",26,26,NA,0.91,0.89,NA,1.02,0.94,NA,1.01,0.94,NA,0.001,0.001
"Body mass index","Anthropometric trait",154,107,NA,0.9,1,0.96,0.82,0.97,0.94,0.89,1.02,0.001,0.001,0.001
"Systemic sclerosis","Autoimmune",18,16,NA,0.9,0.89,NA,1.04,0.93,NA,1.01,0.91,NA,0.001,0.001
"Triglycerides","Metabolic trait",103,68,NA,0.89,0.92,0.88,0.82,0.95,0.89,0.85,0.95,0.001,0.001,0.001
"Cholesterol, total","Metabolic trait",91,82,NA,0.89,0.93,1.01,0.82,0.93,0.99,0.82,0.95,NA,NA,NA
"Ankylosing spondylitis","Autoimmune",25,22,NA,0.89,0.92,NA,1.03,0.96,NA,1,0.94,NA,0.001,0.001
"Systemic lupus erythematosus","Autoimmune",90,71,NA,0.88,0.89,0.81,0.84,0.89,0.82,0.82,0.9,0.002,0.001,0.001
"Graves' disease","Autoimmune",23,23,NA,0.88,0.87,NA,0.97,0.91,NA,0.93,0.88,NA,0.001,0.001
"Bladder cancer","Cancer",21,18,NA,0.88,0.85,NA,1.02,0.9,NA,0.98,0.88,NA,0.001,0.001
"Atopic dermatitis","Autoimmune",39,34,NA,0.88,0.83,NA,0.94,0.87,NA,0.91,0.85,NA,0.001,0.001
"Parkinson's disease","Neurologic",98,74,NA,0.87,0.91,0.92,0.81,0.92,0.91,0.83,0.95,NA,0.001,0.001
"Diastolic blood pressure","Cardiovascular trait",44,37,NA,0.87,0.95,NA,0.92,1,NA,0.88,0.98,NA,0.001,0.001
"Asthma","Autoimmune",53,47,NA,0.86,0.82,0.72,0.87,0.85,0.73,0.91,0.85,0.001,0.001,0.001
"Rheumatoid arthritis","Autoimmune",183,136,NA,0.86,0.94,0.83,0.87,0.9,0.85,0.95,0.92,0.001,0.001,0.001
"Non-small cell lung cancer","Cancer",17,17,NA,0.85,0.92,NA,0.93,0.96,NA,0.92,0.96,NA,0.001,0.001
"Fasting plasma glucose","Metabolic trait",26,24,NA,0.85,0.96,NA,0.98,1.01,NA,0.95,0.99,NA,0.001,0.001
